Date,Placement Name,Requested Impressions,Executed Impressions,Clickthrough Rate,Clicks,Viewability,Banner - Renders,Banner - Viewability,DriveBy - Renders,DriveBy - Viewability,DriveBy - Video Play Rate,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8-Mar-17,147332360 - Adidas TH,0,0,2.12%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
9-Mar-17,147332360 - Adidas TH,6461,4325,1.67%,65,81.13%,5899,12.27%,4285,77.55%,81.80%,3179,2884,2613,2435,69.47%
10-Mar-17,147332360 - Adidas TH,15333,9163,0.95%,133,79.67%,13893,16.10%,9083,72.61%,76.24%,6312,5767,5212,4878,70.44%
11-Mar-17,147332360 - Adidas TH,8917,6095,0%,104,78.80%,7896,25.65%,6048,71.03%,74.07%,4113,3755,3389,3169,70.74%
12-Mar-17,147332360 - Adidas TH,10282,7239,0%,83,78.28%,9025,27.32%,7173,69.90%,72.94%,4772,4384,3916,3618,69.15%
13-Mar-17,147332360 - Adidas TH,11180,7391,1.24%,99,77.99%,9851,28.40%,7310,65.62%,68.92%,4522,4085,3660,3396,67.41%
14-Mar-17,147332360 - Adidas TH,14873,8490,1.39%,133,79.63%,13460,21.32%,8432,70.43%,74.18%,5675,5203,4717,4378,69.99%
15-Mar-17,147332360 - Adidas TH,9983,3933,1.31%,51,82.74%,9267,9.80%,3901,77.29%,80.31%,2879,2654,2421,2263,72.23%
16-Mar-17,147332360 - Adidas TH,9807,3827,1.21%,59,83.02%,9038,9.59%,3805,77.27%,79.63%,2810,2587,2326,2182,72.01%
17-Mar-17,147332360 - Adidas TH,25,0,1.03%,0,0%,7,0%,0,0%,0%,0,0,0,0,0%
18-Mar-17,147332360 - Adidas TH,7,0,1.50%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
19-Mar-17,147332360 - Adidas TH,7,0,1.36%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
20-Mar-17,147332360 - Adidas TH,0,0,2.13%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
21-Mar-17,147332360 - Adidas TH,11997,6723,1.69%,95,80.57%,8733,15.06%,6644,76.85%,81.31%,4913,4615,4566,4173,77.25%
22-Mar-17,147332360 - Adidas TH,13915,4262,2.16%,64,83.44%,13004,6.31%,4252,80.36%,84.43%,3260,3026,2750,2591,72.17%
23-Mar-17,147332360 - Adidas TH,13898,4035,1.08%,67,83%,12763,6.06%,4021,78.61%,83.01%,3030,2761,2533,2384,71.42%
24-Mar-17,147332360 - Adidas TH,12085,3737,1.45%,66,77.07%,11035,6.91%,3708,72.36%,78.07%,2507,2263,2026,1887,65.18%
25-Mar-17,147332360 - Adidas TH,13107,3879,1.86%,65,76.82%,12104,5.41%,3859,72.17%,79.61%,2618,2307,2014,1837,59.80%
26-Mar-17,147332360 - Adidas TH,14557,3965,1.62%,59,79.72%,13524,4.64%,3943,76.21%,81.54%,2850,2614,2316,2169,67.47%
27-Mar-17,147332360 - Adidas TH,10220,3031,1.62%,46,80.67%,8787,5.90%,3004,77.23%,82.12%,2207,2011,1839,1701,68.95%
28-Mar-17,147332360 - Adidas TH,5897,1455,1.48%,18,80.14%,5374,5.17%,1436,74.93%,79.94%,1022,927,825,775,67.51%
29-Mar-17,147332360 - Adidas TH,6467,1471,1.35%,19,85.93%,6061,5.13%,1469,81.21%,85.02%,1155,1073,982,923,73.90%
30-Mar-17,147332360 - Adidas TH,6405,1477,1.71%,15,82.80%,6002,4.43%,1461,79.53%,83.71%,1122,1044,965,913,74.65%
31-Mar-17,147332360 - Adidas TH,8476,2680,1.38%,27,84.14%,7834,6.52%,2676,79.78%,83.82%,2058,1906,1761,1644,73.29%
1-Apr-17,147332360 - Adidas TH,5852,997,1.58%,11,86.26%,5305,3.05%,992,84.27%,87.70%,809,755,702,666,76.55%
2-Apr-17,147332360 - Adidas TH,7706,1125,1.79%,19,84.62%,7116,1.64%,1124,82.92%,86.48%,901,850,792,742,76.34%
3-Apr-17,147332360 - Adidas TH,5788,736,1.66%,14,80.16%,5315,2.13%,730,76.58%,83.01%,536,479,435,405,66.83%
4-Apr-17,147332360 - Adidas TH,2530,921,0.70%,4,73.62%,2210,24.62%,856,21.61%,23.13%,180,160,133,126,63.64%
5-Apr-17,147332360 - Adidas TH,5140,3326,1.15%,14,72.16%,4340,51.50%,3126,10.56%,11.68%,325,284,254,238,65.21%
6-Apr-17,147332360 - Adidas TH,5248,3302,1.93%,13,71.38%,4365,47.40%,3119,14.65%,16.13%,442,417,386,354,70.38%
7-Apr-17,147332360 - Adidas TH,1161,586,1.39%,2,68.26%,771,43.97%,554,17.87%,19.68%,100,95,84,79,72.48%
8-Apr-17,147332360 - Adidas TH,899,578,1.33%,1,67.30%,766,47.26%,548,9.31%,10.22%,52,46,41,40,71.43%
9-Apr-17,147332360 - Adidas TH,6023,3530,1.66%,19,69.29%,4967,45.14%,3309,10.76%,11.63%,355,333,299,276,71.69%
10-Apr-17,147332360 - Adidas TH,4218,2316,1.07%,13,70.90%,3173,47.08%,2166,15.19%,16.16%,328,306,283,267,76.29%
11-Apr-17,147332360 - Adidas TH,8,0,1.34%,0,0%,3,0%,0,0%,0%,0,0,0,0,0%
8-Mar-17,147332363 - Adidas DB - MY,2710,1692,1.55%,21,83.92%,2470,9.23%,1688,80.98%,84.89%,1322,1206,1086,1028,71.74%
9-Mar-17,147332363 - Adidas DB - MY,15943,9063,1.52%,123,84.41%,14729,8.93%,9033,80.88%,84.39%,7051,6513,5903,5535,72.61%
10-Mar-17,147332363 - Adidas DB - MY,7748,4419,1.60%,82,78.98%,6894,18.94%,4370,70.39%,73.02%,2937,2710,2420,2254,70.64%
11-Mar-17,147332363 - Adidas DB - MY,11211,7521,1.81%,104,78.65%,9964,24.60%,7440,70.93%,73.95%,5035,4621,4159,3869,70.32%
12-Mar-17,147332363 - Adidas DB - MY,10482,7397,1.09%,143,78.14%,9230,27.57%,7321,70.18%,73.57%,4892,4446,3988,3677,68.27%
13-Mar-17,147332363 - Adidas DB - MY,11112,7289,1.57%,113,77.68%,9741,28.10%,7204,66.07%,68.99%,4471,4073,3588,3300,66.40%
14-Mar-17,147332363 - Adidas DB - MY,14600,8079,1.67%,135,79.44%,13153,20.76%,8007,70.84%,74.85%,5391,4892,4393,4061,67.76%
15-Mar-17,147332363 - Adidas DB - MY,9818,3788,1.50%,61,82.18%,9114,8.28%,3756,77.98%,81.02%,2838,2620,2388,2248,73.87%
16-Mar-17,147332363 - Adidas DB - MY,9202,3532,1.99%,50,80.75%,8478,9.50%,3505,75.12%,78.03%,2523,2334,2133,1979,72.36%
17-Mar-17,147332363 - Adidas DB - MY,23,0,1.67%,0,0%,7,0%,0,0%,0%,0,0,0,0,0%
18-Mar-17,147332363 - Adidas DB - MY,7,0,0.91%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
19-Mar-17,147332363 - Adidas DB - MY,7,0,1.30%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
20-Mar-17,147332363 - Adidas DB - MY,5,0,1.61%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
21-Mar-17,147332363 - Adidas DB - MY,11430,7988,1.47%,95,84.01%,9272,18.35%,7893,78.84%,81.91%,5949,5527,5231,4841,74.88%
22-Mar-17,147332363 - Adidas DB - MY,9246,7680,1.66%,89,87.43%,8644,20.53%,7645,82.73%,85.66%,6114,5703,5225,4936,75.37%
23-Mar-17,147332363 - Adidas DB - MY,13905,10956,1.22%,125,85.48%,12838,24.21%,10863,76.98%,80.15%,8012,7323,6648,6233,71.59%
24-Mar-17,147332363 - Adidas DB - MY,13699,11207,0.90%,135,85.48%,12593,24.81%,11112,77.94%,81.05%,8374,7730,7073,6633,73.65%
25-Mar-17,147332363 - Adidas DB - MY,12819,10400,1.54%,143,84.35%,11743,23.40%,10329,77.08%,80.52%,7607,6965,6320,5927,71.26%
26-Mar-17,147332363 - Adidas DB - MY,12081,9843,1.42%,128,83.93%,10950,26.44%,9739,74.80%,78.87%,6988,6419,5856,5446,70.90%
27-Mar-17,147332363 - Adidas DB - MY,12344,9481,0%,122,84.85%,10841,29.82%,9367,72.85%,76.63%,6505,6054,5544,5211,72.60%
28-Mar-17,147332363 - Adidas DB - MY,21468,16727,0%,178,84.22%,19388,31.41%,16519,70.79%,75.03%,11129,10270,9331,8745,70.56%
29-Mar-17,147332363 - Adidas DB - MY,20950,15325,0%,159,83.52%,18875,31.59%,15158,67.57%,71.78%,9700,8899,8099,7578,69.64%
30-Mar-17,147332363 - Adidas DB - MY,19720,15792,0%,158,84.79%,17971,28.09%,15639,74.64%,77.86%,11206,10479,9563,8941,73.43%
31-Mar-17,147332363 - Adidas DB - MY,19831,16364,0%,173,84%,17907,27.48%,16201,74.17%,77.30%,11526,10727,9805,9190,73.38%
1-Apr-17,147332363 - Adidas DB - MY,18659,15056,0%,180,83.07%,16831,26.65%,14893,74.02%,77.48%,10584,9781,8936,8396,72.76%
2-Apr-17,147332363 - Adidas DB - MY,19180,15130,0%,150,80.83%,17043,23.88%,15013,72.21%,76.19%,10203,9281,8309,7732,67.60%
3-Apr-17,147332363 - Adidas DB - MY,16744,13486,0%,128,81.43%,15048,27.07%,13355,71.09%,75.32%,9006,8287,7428,6865,68.25%
4-Apr-17,147332363 - Adidas DB - MY,15093,12854,0%,139,86.39%,13852,27.44%,12727,76.79%,79.46%,9528,8951,8219,7770,76.83%
5-Apr-17,147332363 - Adidas DB - MY,12596,10809,0%,115,87.33%,11649,24.15%,10726,80.19%,83.13%,8438,8005,7371,6950,77.95%
6-Apr-17,147332363 - Adidas DB - MY,10707,8720,0%,97,84.53%,9706,21.98%,8636,77.01%,79.94%,6425,5989,5465,5140,74.45%
7-Apr-17,147332363 - Adidas DB - MY,1159,802,0%,3,84.04%,915,17.70%,796,76.63%,81.41%,587,561,536,507,78.24%
8-Apr-17,147332363 - Adidas DB - MY,7,0,0%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
9-Apr-17,147332363 - Adidas DB - MY,9681,7793,0%,85,87.05%,8395,28.33%,7732,76.88%,79.94%,5750,5389,4911,4623,74.79%
10-Apr-17,147332363 - Adidas DB - MY,41098,33161,0%,367,84.89%,35664,29.37%,32809,76.37%,79.23%,24465,22957,21265,19981,76.86%
11-Apr-17,147332363 - Adidas DB - MY,12094,10263,0%,110,85.54%,11164,28.39%,10181,75.88%,78.67%,7576,7132,6567,6211,77.55%
8-Mar-17,147333259 - Adidas DB - SG,41,0,0%,0,0%,18,0%,0,0%,0%,0,0,0,0,0%
9-Mar-17,147333259 - Adidas DB - SG,5956,3400,0%,35,85.26%,5544,22.89%,3368,77.58%,80.82%,2547,2317,2060,1911,70.21%
10-Mar-17,147333259 - Adidas DB - SG,8788,6088,0%,66,82.11%,8141,28.77%,6015,75.51%,79.05%,4293,3852,3431,3184,66.96%
11-Mar-17,147333259 - Adidas DB - SG,7241,4945,0%,67,82.31%,6598,34.40%,4881,74.43%,78.96%,3408,3030,2667,2440,63.31%
12-Mar-17,147333259 - Adidas DB - SG,7968,5583,0%,39,80.96%,7279,40.16%,5532,70.52%,75.81%,3675,3205,2790,2522,60.13%
13-Mar-17,147333259 - Adidas DB - SG,8371,5243,0%,56,78.83%,7726,35.13%,5199,64.44%,69.38%,3131,2709,2348,2120,58.77%
14-Mar-17,147333259 - Adidas DB - SG,8427,5771,0%,63,82.24%,7779,34.22%,5720,72.62%,76.66%,3901,3441,2994,2673,60.96%
15-Mar-17,147333259 - Adidas DB - SG,8195,5807,0%,53,82.45%,7525,35.50%,5749,72.90%,77.07%,3968,3552,3148,2874,64.86%
16-Mar-17,147333259 - Adidas DB - SG,5212,3544,2.10%,32,80.64%,4739,35.32%,3500,70.29%,74.80%,2333,2066,1843,1677,64.06%
17-Mar-17,147333259 - Adidas DB - SG,28,5,0%,0,100%,13,38.46%,5,40%,40%,2,1,1,1,50%
18-Mar-17,147333259 - Adidas DB - SG,7,0,2.14%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
19-Mar-17,147333259 - Adidas DB - SG,7,0,1.52%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
20-Mar-17,147333259 - Adidas DB - SG,4,0,1.41%,0,0%,2,0%,0,0%,0%,0,0,0,0,0%
21-Mar-17,147333259 - Adidas DB - SG,8481,6202,1.19%,94,86.13%,7246,26.01%,6137,81.68%,85.19%,4849,4513,4211,3924,75.06%
22-Mar-17,147333259 - Adidas DB - SG,9799,8577,1.65%,120,86.90%,9284,28.36%,8529,82.33%,85.43%,6829,6265,5643,5274,72.39%
23-Mar-17,147333259 - Adidas DB - SG,9727,8181,0%,99,83.54%,9080,31.32%,8089,75.81%,80.49%,5837,5221,4647,4341,66.67%
24-Mar-17,147333259 - Adidas DB - SG,7292,6438,1.30%,85,85.17%,6920,29.38%,6403,77.43%,81.88%,4744,4248,3791,3508,66.91%
25-Mar-17,147333259 - Adidas DB - SG,10571,9083,1.40%,88,75.65%,9676,32.40%,8954,67.92%,77.50%,5380,4575,3955,3586,51.68%
26-Mar-17,147333259 - Adidas DB - SG,7925,6667,1.50%,79,82.48%,7294,36.61%,6581,70.69%,77.56%,4333,3857,3425,3160,61.91%
27-Mar-17,147333259 - Adidas DB - SG,9035,7261,1.16%,85,82.30%,8016,38.96%,7140,67.77%,74.33%,4506,3964,3564,3303,62.24%
28-Mar-17,147333259 - Adidas DB - SG,16716,13485,2.14%,139,82.40%,15431,37.10%,13332,69.35%,74.50%,8647,7749,6986,6461,65.05%
29-Mar-17,147333259 - Adidas DB - SG,15490,12982,0.55%,158,85.13%,14374,33.53%,12866,74.54%,78.77%,9126,8219,7355,6875,67.83%
30-Mar-17,147333259 - Adidas DB - SG,13587,11310,1.53%,124,84.83%,12703,33.43%,11214,76.16%,79.76%,8120,7398,6622,6134,68.58%
31-Mar-17,147333259 - Adidas DB - SG,13825,11306,1.21%,119,83.25%,12764,35.09%,11183,74.37%,78.11%,7915,7170,6389,5938,67.98%
1-Apr-17,147333259 - Adidas DB - SG,14046,11291,1.66%,95,83.37%,13005,34.29%,11198,74.25%,77.77%,7904,7081,6312,5820,66.83%
2-Apr-17,147333259 - Adidas DB - SG,15525,11612,1.14%,122,83.32%,14400,31.60%,11518,71.10%,75.86%,7764,6930,6160,5675,64.95%
3-Apr-17,147333259 - Adidas DB - SG,12409,8979,2.25%,79,82.68%,11325,31.04%,8870,69.43%,74.10%,5830,5163,4620,4191,63.76%
4-Apr-17,147333259 - Adidas DB - SG,6025,4385,0.80%,30,79.48%,5320,38.40%,4297,51.57%,54.81%,2131,1932,1724,1592,67.60%
5-Apr-17,147333259 - Adidas DB - SG,2678,1942,1.47%,2,75.59%,2270,48.68%,1883,27.51%,29.53%,498,448,391,360,64.75%
6-Apr-17,147333259 - Adidas DB - SG,1756,1149,1.32%,4,74.24%,1457,47.36%,1106,23.15%,25.59%,243,216,191,173,61.13%
