Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate,,,,,,,,,,,,,,,,,,,,,
42802,41,2,0.00%,0.00%,0,0,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,
42803,5956,37,1.03%,22.89%,2547,2317,2060,1911,70.21%,,,,,,,,,,,,,,,,,,,,,
42804,8788,67,1.08%,28.77%,4293,3852,3431,3184,66.96%,,,,,,,,,,,,,,,,,,,,,
42805,7241,67,1.35%,34.40%,3408,3030,2667,2440,63.31%,,,,,,,,,,,,,,,,,,,,,
42806,7968,40,0.70%,40.16%,3675,3205,2790,2522,60.13%,,,,,,,,,,,,,,,,,,,,,
42807,8371,56,1.07%,35.13%,3131,2709,2348,2120,58.77%,,,,,,,,,,,,,,,,,,,,,
42808,8427,63,1.09%,34.22%,3901,3441,2994,2673,60.96%,,,,,,,,,,,,,,,,,,,,,
42809,8195,53,0.91%,35.50%,3968,3552,3148,2874,64.86%,,,,,,,,,,,,,,,,,,,,,
42810,5212,32,0.90%,35.32%,2333,2066,1843,1677,64.06%,,,,,,,,,,,,,,,,,,,,,
Totals,60199,417,1.02%,33.47%,27256,24172,21281,19401,63.47%,,,,,,,,,,,,,,,,,,,,,